Makanan terlalu asin,Kurangi garam
Makanan hambar,Tambah gula dan garam
Makanan kurang asin,Tambah garam
Terlalu manis,Kurangi gula
Tidak ada rasa,Tambah gula dan garam
Sangat manis,Kurangi gula
Asinnya berlebihan,Kurangi garam
Tidak ada asinnya,Tambah garam
Rasanya asin saja,Tambah gula
Kurang pedas,Tambah cabai
Terlalu pedas,Kurangi cabai
Makanan rasanya manis saja,Kurangi gula
Terlalu asin,Kurangi garam
"Tidak enak, terlalu manis",Kurangi gula
Rasanya hambar,Tambah gula dan garam
Rasa asinnya dominan,Kurangi garam
Cenderung terlalu manis,Kurangi gula
Rasanya terlalu pahit,Tambah gula
Terasa terlalu gurih,Kurangi penyedap
Makanan terasa kecut,Kurangi cuka
Rasa makanan tidak seimbang,Tambah gula/garam
Terlalu berminyak,Kurangi minyak
Rasanya terlalu kuat,Kurangi bumbu
Terlalu tawar rasanya,Tambah garam
Dominan rasa gula merah,Kurangi gula
Makanan terlalu asam,Kurangi asam
Terlalu berempah,Tambah Air
terasa gosong,Kurangi waktu masak
Rasa terlalu tajam di lidah,tambah air
Rasa tidak menyatu,Tambah air/bumbu lagi
tekstur terlalu keras,Masak lebih lama
Makanan terlalu berminyak,Tiriskan lebih lama
Ayam terlalu kering,Kurangi waktu masak
Ayam tidak matang sempurna,Tambah waktu masak
Porsi terlalu sedikit,Tambahkan porsi
Porsi nasi kucing,Tambahkan porsi
Rasa minyak sangit,Ganti minyak goreng lebih rutin
Ayam terlalu sedikit,Tambahkan porsi
Tidak ada alat makan,Tambahkan alat makan
Makanan tumpah,Perbaiki kualitas kemasan
Makanan tidak panas,Langsung kemas setelah matang
Ada serangga di makanan,Tingkatkan kebersihan dapur
Ada ulat di sayur,Tingkatkan kebersihan dapur
Rasa tidak spesial,Tambahkan bumbu
Porsi tidak cukup untuk orang dewasa,Tambahkan porsi
Makanan terlalu mahal,Turunkan harga
Kualitas makanan tidak sesuai harga,Turunkan harga
Daging hambar,Tambahkan bumbu
Rasa makanan biasa saja,Tambahkan bumbu
Masih lapar setelah makan,Tambahkan porsi
Terlalu asin,Kurangi garam
Seperti makan garam ,Kurangi garam
Makanan terlalu berminyak,Kurangi minyak
Gorengan rasa minyak,Tiriskan lebih lama
Sayur layu dan tidak segar,Tingkatkan kualitas bahan makanan
Sayur sudah basi,Tingkatkan kualitas bahan makanan
Telur goreng gosong,Kurangi waktu memasak
Makanan sudah kecut,Tingkatkan kualitas bahan makanan
Makanan terlalu mahal,Turunkan harga
Tidak sepadan denegan harga,Turunkan harga
Minuman terlalu manis,Kurangi gula
Bumbu terlalu encer,Tambahkan bumbu
Salah pesanan,Teliti membaca pesanan
Pesanan kurang jumlahnya,Teliti membaca pesanan
Request tidak dibaca,Teliti membaca pesanan
Gorengan terlalu keras,Kurangi waktu memasak
Bakso kecut,Tingkatkan kualitas bahan makanan
Makanan sudah terlalu dingin,Langsung kemas setelah makan
Makanan terlalu pedas,Kurangi cabai
Bumbu terlalu sedikit,Tambahkan bumbu
Makanan terlalu asin,Kurangi garam
Rasa makanan biasa saja,Tambahkan bumbu
Porsi terlalu sedikit,Tambahkan porsi
Nasi sudah ada ulatnya,Tingkatkan kualitas bahan makanan
Rasanya tidak enak,Tambahkan bumbu
Sambal basi,Tingkatkan kualitas bahan makanan
Nasi terlalu lembek,Kurangi waktu memasak
Mie terlalu lembek,Kurangi waktu memasak
Pesanan salah,Teliti membaca pesanan
Rasa masakan tidak istimewa,Tambahkan bumbu
Bumbu rasanya terlalu asam,Kurangi cuka
Rasa nasi goreng hambar,Tambahkan garam
Rasanya terlalu manis,Kurangi gula
Rasanya berubah-ubah tiap beli,Konsisten dalam memasak
Kadang enak kadang tidak enak,Konsisten dalam memasak
Rasanya tidak enak,Tambahkan bumbu
Ada rambut di masakan,Tingkatkan kebersihan dapur
Ada kuku di masakan,Tingkatkan kebersihan dapur
Masakan rasanya asin aja,Tambahkan gula
Tidak ada yang istimewa,Tambahkan bumbu
Masakan yang dikirim salah,Teliti membaca pesanan
Mie lengket dan lembek,Kurangi waktu memasak
Porsinya porsi nasi kucing,Tambahkan porsi
"Rasanya biasa, bahkan tidak enak",Tambahkan bumbu
Gorengan basah berminyak,Tiriskan lebih lama
Harga terlalu mahal,Turunkan harga
Terlalu asin,Kurangi garam
"Rasanya tidak enak, hambar",Tambahkan bumbu
Porsi terlalu kecil,Tambahkan porsi
Kuah terlalu kental,Tambahkan air
Proses masak terlalu lama,Percepat proses masak
Menunggu makanan terlalu lama,Percepat proses masak
Ada serangga di makanan,Tingkatkan kebersihan dapur